Character,Name,Latest,English,Japanese
-----,-----,-----,-----,-----
,,08:30 A.M 天气/暴雪,,
,,北地，因非冰原，莱茵生命420号临时科考观测站,,
-----,-----,-----,-----,-----
,Gadget,系统已解锁。,System unlocked.,
,Gadget,确定年份：未知,Year determined: unknown,
,Gadget,时间设置出现问题，现在转到手工控制。,There is a problem with the time setting. Turning to manual control now.,
,Gadget,要进行下一步操作，请进行身份认证。,"To continue, please authenticate yourself.",
char_248_mgllan,Magallan,唔，我想想......嗯，莱茵生命科学考察员，麦哲伦。,"Well, let me think... Uh, Rhine Lab's science investigator, Magallan.",
,Gadget,认证中——,Comfirming identity——,
,Gadget,认证完毕，声音样本已确认。,Authentication is complete. Voice sample confirmed.,
,Gadget,哔哔——,Beep——,
,Gadget,指纹已确认。,Fingerprints confirmed.,
,Gadget,（活泼的女声）嗨，你好呀麦麦，欢迎回来！,"(Lively female voice) Hi, Ma, welcome back!",
char_248_mgllan,Magallan,......,...,
char_248_mgllan,Magallan,好怪哦！,This feel strange!,
char_248_mgllan,Magallan,唉，早知道就不答应梅尔姐测试这个签到系统了，好奇怪的功能啊......,,
char_248_mgllan,Magallan,呼，总而言之，开始干活吧！,"Whew, regardless, time to work!",
char_248_mgllan,Magallan,今年最后一个勘察点，确认没有新的发现。,I confirmed the last site of the year has no new discoveries.,
char_248_mgllan,Magallan,至此，本年度预定的勘查目标已经完成，确认其他各项任务完成后，将踏上返程。,"Currently, this year's scheduled exploration objectives have been completed, I also confirmed the completion of other tasks, and will set foot to return back soon.",
char_248_mgllan,Magallan,呼，搞定。,"Phew, done.",
char_248_mgllan,Magallan,写报告可真是我最不擅长的东西了，还是来听听录音吧。,,
,Gadget,（活泼的女声）你好，麦麦。今天，是你本次外出勘察的第1，8，7天了哦。,"(Lively female voice) Hello, Ma. Today is your 1,8,7 days of surveying~",
char_248_mgllan,Magallan,哇，这一次也已经出来这么久啦，我都没有感觉了。,"Wow, I've been out for so long this time, I didn't feel time past so fast.",
,Gadget,（活泼的女声）你已经出去很久了，也该回来了吧？大家都想你了。,(Lively female voice) You've been out for a long time. I think it's time for you come back? Everyone missed you.,
char_248_mgllan,Magallan,欸？！之前有这一段吗......难道是梅尔姐偷偷录的然后设置了触发条件？,,
char_248_mgllan,Magallan,呜哇，不管怎么样，居然还有这样的小惊喜，好开心啊！,"Uwah, who cares how it's recorded, I'm so happy! This is such a nice small surprise!",
char_248_mgllan,Magallan,不过，说是说可以回去了，但是......,"Well, I said I could go back, but...",
char_248_mgllan,Magallan,这场暴风雪，恐怕还要持续至少一周呢，唉，幸好物资储备还算充裕。,"This blizzard will probably last for at least a week, thankfully my supplies are plentiful.",
