Character,Name,Latest,English,Japanese
-----,-----,-----,-----,-----
-----,-----,-----,-----,-----
char_013_riop,Guard Operator,唔......,Urgh...,ん……
char_013_riop,Guard Operator,啊？怎，怎么回事......,Huh? W-what...,はっ、い、一体なにが…
char_013_riop,Guard Operator,我怎么会躺在这种地方......发生了什么......,Why am I lying in a place like this...What happened...,どうしてこんなところに転がっていたんだろ…どういうことだ…
char_013_riop,Guard Operator,对了！我们潜入切尔诺伯格，要救出Dr.{@nickname}——,Right! We were inflitrating Chernobog to rescue Dr.{@nickname}——,そうだ！我々がチェルノベルグに潜り込み、ドクター{@nickname}を奪還していたところ――
char_013_riop,Guard Operator,！,!,
char_013_riop,Guard Operator,头儿！不对，不对，头儿他......,"Boss! No, no the boss... he...",隊長！そんな、まさか、隊長が……
char_013_riop,Guard Operator,......头儿他......,...Boss...,…隊長…
char_013_riop,Guard Operator,嗯？这张纸是怎么回事？,Huh? What's with this piece of paper?,うん？そばに紙切れが残されている？
char_013_riop,Guard Operator,等等，这是......这是罗德岛的工程用纸！,"Wait, this... this is Rhodes Island's engineering paper!",っと、これは……ロドスオペレーターの手記か！
char_013_riop,Guard Operator,是谁留在这的，究竟发生了什么事？,Who left it here? What actually happened while I was out?,誰の手によるものだろう？なにが起こってしまったんだ？
char_013_riop,Guard Operator,呃，这密密麻麻的字，写的还有些乱......,"Urgh, these words are densely written, and the writing is a little messy...",どれ、書かれた文が詰めこまれていて、字も少し粗い……
-----,-----,-----,-----,-----
,,不知名的干员，隐藏好自己。我没有机会看你的胸牌，不记得你的名字。,"Unknown named operator, hide yourself well. I didn't had the chance to look at your tag and remember your name",名無しオペよ、身を隠せ。ドッグタグを覗く暇もなく、おまえの名前が思い浮かべない
,,时间并不宽裕，我的字有些潦草，请谅解，麻烦你读下去。,"There's not enough time, while my writing may be messy, please understand and continue to read on.",時間が惜しく、荒い字になったな、すまないが、我慢して読んでいけ
,,不用慌张，你暂时是安全的。,"Don't panic, you are safe for the time being.",慌てず騒がず、しばらくその場は安全のはずだ
,,请务必不要走出这块废墟。天色完全暗下来之前，敌人发现你的概率很高。,Please do not walk out of this ruin. The enemy has a good chance of finding you before the sun sets.,今いる跡地を決して出るなよ。日が沈みきるまでは、外じゃ敵にバレやすい
,,可以说，你正身处敌人的重重包围之中。,"You are, so to speak, surrounded by the enemy.",はっきり言って、四面楚歌なんだ
-----,-----,-----,-----,-----
char_013_riop,Guard Operator,不是头儿的笔迹......是罗德岛同事写下的纸条吗？,This is not Boss handwriting... Is this note written by a fellow Rhodes Island?,隊長の筆跡とは違う……ロドスの誰かからの便りか？
char_013_riop,Guard Operator,写的真长啊，为什么不直接把我叫醒，跟我说就好——,"What a long note, why couldn't you just had woken me up and told me about——",長いメモを残すくらいなら、すぐ起こして、直接教えてくれればよかったのに――
,？？？,你来了。,You've came.,来たか
char_013_riop,Guard Operator,（嗯？说话声？是整合运动吗，混账！）,(Huh? A voice? Is it the Reunion Movement? Dammit!),（ん？話し声？レユニオンのやつか、くそ！）
