Character,Name,Chinese,English
char_130_doberm_ex,杜宾,呼......甩开他们了。
char_014_riope,Ace,按这个速度，我们很快就会离开中城区，抵达南面出口。
char_130_doberm_ex,杜宾,周围也变得越来越很嘈杂......
char_130_doberm_ex,杜宾,可能是切尔诺伯格的居民想要逃出城市，反而和整合运动发生了冲突吧。
char_130_doberm_ex,阿米娅,......
char_014_riope,Ace,似乎有几个城区已经撤离了。
char_014_riope,Ace,而没来得及逃出切尔诺伯格的本地居民，却依然被整合运动拦在这里。
char_148_nearl_1#3,临光,......
char_014_riope,Ace,——
char_014_riope,Ace,这个开阔区域，曾经是个大广场吧。如今......只剩下些废墟。
char_014_riope,Ace,虐待感染者的城市，遭到了感染者的报复吗。
char_130_doberm_ex,杜宾,你似乎——
char_130_doberm_ex,杜宾,很有感触。
char_014_riope,Ace,呵，曾经......
char_002_amiya_1#4,阿米娅,天色......越来越暗淡了。
char_002_amiya_1#4,阿米娅,好像连空气中......都弥漫着一股......燃烧的味道。
char_002_amiya_1#4,平民,你们在干什么！
char_002_amiya_1#4,整合运动成员,......
char_002_amiya_1#4,平民,......啊啊！！
char_014_riope,Ace,————!
char_014_riope,Ace,平民？
char_130_doberm_ex,杜宾,听不到了。
char_130_doberm_ex,杜宾,——这个距离，没法确认身份。
char_130_doberm_ex,阿米娅,——！
char_130_doberm_ex,阿米娅,整合运动在攻击他们——！
char_130_doberm_ex,Ace,在这种地形没有优势。我们没有能力去顾及他人的生命安全。
char_130_doberm_ex,Ace,生命很宝贵，阿米娅。每个人的，都很宝贵。
char_130_doberm_ex,阿米娅,......
char_130_doberm_ex,杜宾,————
char_130_doberm_ex,杜宾,不管怎么样都来不及了。
char_130_doberm_ex,杜宾,毕竟我们已经有更大的麻烦找上了门。
char_130_doberm_ex,临光,......
char_130_doberm_ex,临光,不好的事情还是发生了。
char_130_doberm_ex,整合运动成员,————
char_1002_nsabr_2,整合运动成员,——————杀了他们。
char_1002_nsabr_2,临光,开阔区各个出口同时出现大量整合运动！
char_1002_nsabr_2,杜宾,准备作战！
