Character,Name,Latest,English,Japanese
-----,-----,-----,-----,-----
-----,-----,-----,-----,-----
,,一切都是白色的。,Everything is white.,
-----,-----,-----,-----,-----
,,头顶的天空与脚下的地面，目所能及之处，全都被安静的白色填满。,"The sky above and the ground below, as far as the eye could see, were all filled with quiet white.",
,,纯白、寂静、空无一物。,"Pure white, silent, empty.",
,,只有火苗摇曳燃烧。,Only the flame flickered.,
-----,-----,-----,-----,-----
,,从某一个时间点起，悄然侵蚀梦境，又于梦醒时融化消弭。,"From a certain point of time, it quietly erodes dream, and the dream woke up to melt away.",
-----,-----,-----,-----,-----
,,“这里是哪里？”,"""Where is this?""",
,,无人应答。,Nobody answered.,
,,“我为什么会在这里？”,"""Why am I here?""",
,,无人应答。,Nobody answered.,
,,“我该怎么离开？”,"""How do I leave?""",
,,无人应答。,Nobody answered.,
-----,-----,-----,-----,-----
,,“......”,"""....""",
-----,-----,-----,-----,-----
,,除了自己之外，谁都不在。,No one was there except myself.,
,,除了自己之外，什么都没有。,Nothing was there except myself.,
-----,-----,-----,-----,-----
,,那么，,"So,",
,,所有的困惑就只剩下一个——,All the confusion was reduced to one——,
-----,-----,-----,-----,-----
,,“你......是什么？”,,
-----,-----,-----,-----,-----
,,......,...,
,,............,......,
-----,-----,-----,-----,-----
,,02:35 P.M.  天气/阴转小雨 ,,
,,罗德岛舰船，二号舱室，干员生活区 ,,
char_134_ifrit_5#7,Ifrit,！！,!!,
char_134_ifrit_5#7,Ifrit,......呼。,... *Taking deep breath*,
char_134_ifrit_5#7,Ifrit,（又来了。怎么老做那个梦，那到底什么玩意啊。）,(That dream again. Why do I keep having that dream? What the hell is that?),
char_134_ifrit_5#7,Ifrit,（呃，头都睡扁了，好痛。）,"(Urgh, my neck hurts, it hurts.)",
char_134_ifrit_5#7,Ifrit,（抓头）烦死了，都是博士那家伙害的，这些题也太难写了吧！,"(Scratches head) I'm having a headache, it's all Doctor's fault, this question is too hard!",
char_134_ifrit_5#7,Ifrit,这什么怪题目啊，还要求面积？搞什么啊？,What a weird question to figure out the area? What the hell?,
char_134_ifrit_5#4,Ifrit,哇啊！,Uwah!,
char_134_ifrit_5#4,Ifrit,停停停停。不是现在，别烧起来啊喂！,"Stop, stop, stop. Not now. Don't burn it. Hey!",
char_134_ifrit_5#7,Ifrit,唔呃......,Oh...,
char_134_ifrit_5#7,Ifrit,还是把桌角烤焦了......算了，还好作业没事。,"I burnt the corner of the table... Forget it. Luckily, my homework is alright.",
char_134_ifrit_5#7,Ifrit,博士那家伙......,Doctor...,
-----,-----,-----,-----,-----
-----,-----,-----,-----,-----
char_134_ifrit_5#3,Ifrit,喂， 这些一定要都写完吗？真麻烦......,"Hey, do I have to finish all this? So troublesome...",
char_134_ifrit_5#3,Ifrit,啊？学起来对我有好处？,Huh? It's good for me to learn?,
char_134_ifrit_5#9,Ifrit,废话，这我当然知道，要不然谁要跟你学！,"Nonsense, I certainly know this, otherwise who would want to learn from you!",
char_134_ifrit_5#9,Ifrit,但是作业也太多了吧！而且这个词和这个词有什么区别啊......,But there's too much homework! And what's the difference between this word and this one...,
