Character,Name,Chinese,English
avg_npc_022,女游客,刚才是不是地震了？
avg_npc_021,男游客,对啊！！
avg_npc_021,男游客,毕竟我们离舞台这么近哎！看到了吗！？你看到D.D.D.的表情了吗！？她是怎么做到的！？
avg_npc_022,女游客,她已经下台了啦，你不要老是这么......等等，这不是又在震了？
avg_npc_021,男游客,哎呀，说不定是低音炮的缘故......慢着。
avg_npc_022,女游客,哎...哎？你也察觉到了？
avg_npc_021,男游客,......快走！
avg_npc_022,女游客,什、什么？
avg_npc_021,男游客,别问那么多了，快跟我走！
avg_npc_021,观众,不要挤啊！离我远点！
avg_npc_021,观众,你踩着我的脚了！！滚开啊！！
avg_npc_021,观众,有人晕倒了！小心！
avg_npc_022,女游客,怎、怎么突然都躁动起来，难道真的是......
avg_npc_021,男游客,......我的天。
avg_npc_021,男游客,......是大帝。
char_105_emper,大帝,嗯哼，天气不错。
,,（欢呼声）
avg_npc_021,男游客,大帝！是真人！！啊啊——！
avg_npc_022,女游客,......
avg_npc_021,男游客,别蠢了！这都什么时候了，你竟然还在意地震！？
avg_npc_022,女游客,不，只是，看见大帝，等等，我有点，喘不过气......
avg_npc_020,保镖,大帝先生，这边请。
avg_npc_020,保镖,各位观众！请退后！退至线后！
char_105_emper,大帝,喂，那个萨弗拉年轻人。
char_105_emper,大帝,没关系，让他们靠近点。
avg_npc_020,保镖,可是大帝先生，您一会还有演出，如果出了什么意外......
char_105_emper,大帝,意外？
char_105_emper,大帝,枪击，刺杀，绑架，自杀威胁，意外是指这些东西？
char_105_emper,大帝,这些东西能阻止什么？阻止我吗？
char_105_emper,大帝,不，它们会变成我舞台的一部分，就像语言的意义被节奏消解，你明白吗？
avg_npc_020,保镖,不、不明白......
char_105_emper,大帝,简单来说就是节目效果。放轻松，塞壬唱片绝对不会追究你们失责。
,,（欢呼声）
,观众,大帝！！大帝！！大帝！！
,表情古怪的游客,......
char_105_emper,大帝,喔，总算来了，快，不要紧张，放轻松，大胆点，相信你自己。
,表情古怪的游客,什么西哥伦比亚的说唱之神，你，你就是个痞子，一个走狗屎运的幸运儿......
char_105_emper,大帝,大声点，伙计，大声说话！喂，萨弗拉人，不要赶他走，把麦克风给他。不要慌，这里听我的。
,表情古怪的游客,你毁了我们的生活，你却坐拥那么多产业，你......你该去死！！
avg_npc_022,女游客,咿呀——他拔出了一把弩！快躲开！
,表情古怪的游客,不怪我，对，都是你的错，你所谓的说唱帝国建立在多少歌手的牺牲之下——
,表情古怪的游客,什么大帝啊，吃屎去吧，你这只下作的企鹅！
char_105_emper,大帝,啊哈，让我想想，到底是谁在耍一些不入流的小手段？媒体，舆论，人身攻击，还有枪杀，哼？
char_105_emper,大帝,你以为在下水道和垃圾堆里打一圈滚我就认不出你了吗？对那些年轻人开枪让你满足吗，“歌手”？
,表情古怪的游客,你——！
char_105_emper,大帝,如果不是我恰好有那么点看不顺眼，你们又会继续“排除”掉多少不合口味的新星。
char_105_emper,大帝,然后把捞来的钞票堆在自己的澡盆里，唾弃着整个哥伦比亚？
,表情古怪的游客,闭嘴！给我去死！
avg_npc_020,保镖,快保护大帝先生！
avg_npc_020,保镖,大帝先生中弹了，快......欸？
avg_npc_020,保镖,开枪的是大帝先生？那家伙的弩被打飞了？
char_105_emper,大帝,哒哒哒哒哒，哒！砰！
char_105_emper,大帝,真奇怪。同你废话了这么多，枪口冒烟的人怎么是我？猜猜看？
char_105_emper,大帝,是因为你太没种，还是我光芒万丈，你睁不开眼？
,表情古怪的游客,咕——呃——你随身带着枪械......
char_105_emper,大帝,如果一个人每天多死个几次，就会养成随身携带武器的好习惯。
,表情古怪的游客,咳咳——你以为，只有我一个人吗？想想你过去招惹的敌人，你走不出这座汐斯塔市的！
char_105_emper,大帝,我的过去比这边虚假的海洋还要宽广，你说的敌人又在哪个犄角旮旯？
avg_npc_020,保镖,大帝先生！观众里面混着很多他们的同伙，我们处理不过来......
char_105_emper,大帝,行了，不要这么慌张。你们就维护好现场的秩序，剩下的交给专业人士。
char_105_emper,大帝,比如我的，企鹅物流。
char_201_moeshd,可颂,......我怎么记得我们是来度假的？姑且问一下，有加班费吗？
char_102_texas_1,德克萨斯,在旅店呆了这么久，的确可以适当运动一下。
char_101_sora_1,空,因为德克萨......因为“空”你一直待在宾馆里看书嘛......
char_102_texas_1,德克萨斯,......好像是还有这个约定。战斗的时候反应得过来吗，德克萨斯？
char_101_sora_1,空,没问题！
char_101_sora_1,能天使,老板，这里完工了，要帮我订明天最前排的套票哟！
avg_npc_020,保镖,大帝先生，这、这些人是怎么回事？
char_102_texas_1,德克萨斯,就当我们是老板......是大帝先生的私人保镖吧。
char_102_texas_1,可颂,虽然我们是个物流公司。
char_102_texas_1,能天使,本来我们的业务扩展就很丰富嘛。之前不是还买了一家爵士乐酒吧？
char_102_texas_1,空,还有那些总是被当成沙包的叙拉古黑帮，不过最近安分得有些诡异。
char_102_texas_1,大帝,你以为我们每个月要在龙门打多少次架？
char_102_texas_1,大帝,论斗殴和火并，我们才是行家里手，最顶级的，无人能及。
,激动的观众,老子等这一刻好久了！西边的企鹅！你既然敢光明正大地出现，就等死吧！！
char_105_emper,大帝,......你们是成立了一个贼喊捉贼协会吗？好吧，反正也和我想的差不太多。
char_105_emper,大帝,德克萨斯，动手。
char_102_texas_1,德克萨斯,明白——啊。
char_101_sora_1,空,——明白了！我上了！
