Character,Name,Latest,English,Japanese
-----,-----,-----,-----,-----
,,11:30 A.M.  天气/多云,,
,,野外，罗德岛总工程师办公室,,
char_003_kalts_1,Kal'tsit,这次又要做什么？,,
char_007_closre_1#5,Closure,凯尔希，我等会能去看看博士吗？,,
char_003_kalts_1,Kal'tsit,你是好久没有对{@nickname}恶作剧，又手痒了？,"You haven't played a joke on {@nickname} for some time, are your hands itching again?",
char_007_closre_1#4,Closure,欸，不要那么警觉嘛！我可是好心在关心人家呢！,"Hey, no need to be so alert! I'm being kind in caring for Doctor!",
char_003_kalts_1,Kal'tsit,上一次你说关心别人的后果，是创造了一间连续三个月都在午夜零点自动播放“可露希尔的午夜录像超商”的舱室。,"The last time you said you cared for others, you created a cabin that automatically played ""Closure's business"" advertisement at midnight that lasted for three months.",
char_007_closre_1#4,Closure,可是......,But...,
char_003_kalts_1,Kal'tsit,还没法调低音量。,I couldn't even turn the volume down.,
char_007_closre_1#4,Closure,好啦好啦，我承认！我确实是想逗逗博士啦。,"Okay, okay, I admit it! I was trying to tease Doctor.",
char_003_kalts_1,Kal'tsit,然而，Dr.{@nickname}现在是失忆状态，是否记得你还是个未知数。,"However, Dr.{@nickname} is now in an amnesic state, whether you will be remembered is uncertain.",
char_007_closre_1#4,Closure,啊？是睡太久了睡傻了吗？好惨哦，之后去给博士送点零食慰问一下好了。,"Ah? Did Doctor sleep too long and become stupid? Oh, that's terrible. Then I'll give Doctor a snack.",
char_003_kalts_1,Kal'tsit,随你。只是，别再给Dr.{@nickname}留下些坏印象。,Do whatever you want. Just don't leave a bad impression to Dr.{@nickname}.,
char_003_kalts_1,Kal'tsit,华法琳已经够糟了，再增加{@nickname}对血魔的误会，卡兹戴尔的事情会被迫继续延后。无限期。,"Warfarin had been bad enough, her actions added {@nickname} misunderstanding over blood demon. Kazdell affair would be forced to be delayed. For an indefinite period.",
char_003_kalts_1,Kal'tsit,这可是你在他人心目中重新建立自己形象的机会，好好把握。,This is your chance to re-establish your image in his mind. Take advantage of it.,
char_007_closre_1#6,Closure,我以前的形象有那么差吗？,Did I look that bad before?,
char_003_kalts_1,Kal'tsit,在中央空调三十六度事件之后，是的。,"After the 36 degree central air-conditioning incident, yes.",
char_007_closre_1,Closure,不，那是机房断电。,"Not my fault, it was a power outage at the engine room.",
char_003_kalts_1,Kal'tsit,我在操作台上找到了你的指纹。,I found your fingerprints on the console.,
char_007_closre_1,Closure,是机房断电！,It was the engine room power going off!,
char_003_kalts_1,Kal'tsit,你黑掉监控删除了录像，但操作台有生物备份系统，我有十三张分布在不同时段的组织切片。,"You hacked the surveillance and deleted the video, but the console had a biometric backup system. I had 13 slices of tissue samples spread out over different periods of time.",
char_007_closre_1#6,Closure,对不起是我的错那个什么混账使节太嚣张了我想治治他十分对不起。,"I'm sorry. It's my fault. That diplomatic envoy was being so arrogant and smug about it, so I gave him some payback.",
char_003_kalts_1,Kal'tsit,......,...,
char_007_closre_1#4,Closure,不过，欢迎会呢？Dr.{@nickname}的欢迎会，我们不弄一个吗？,"Moving on, how about a welcoming party? Can't we have a welcome party for Dr.{@nickname}?",
char_003_kalts_1,Kal'tsit,免了。现在是非常状态。,Denied. Right now the circumtances are unusual.,
char_007_closre_1#4,Closure,欸，不要这么冷淡嘛，凯尔希。既然博士失忆了，我们不是更应该让博士多感受些同伴的温暖吗？,"Why, don't be so cold, Kalt'sit. Now that Doctor has lost his memory, shouldn't we let Doctor feel his companions warmth?",
char_003_kalts_1,Kal'tsit,你以前是这么看待Dr.{@nickname}的？,Is this how you used to treat Dr.{@nickname}?,
char_007_closre_1,Closure,可能......我和博士也没那么亲近？不过就像你说的，这不是建立自己的美好形象的最佳时机吗。,"Maybe... I'm not close with Doctor. But like you said, this is the best time to build a good image of myself, no?",
char_003_kalts_1,Kal'tsit,可露希尔，我现在不想聊这个话题。,"Closure, I don't want to talk about this kind of topic right now.",
char_007_closre_1,Closure,哼，你不去我就自己去，我可不管你。,"Hmph, I'll go myself if you don't. I don't care what you do.",
char_007_closre_1,Closure,话说，按照既定安排，我们是要去龙门没错吧。,"Speaking of, according to the plan, we're going to Lungmen, right?",
char_003_kalts_1,Kal'tsit,嗯。,Yes.,
char_007_closre_1,Closure,能自由行动吗？,Independant operation?,
char_003_kalts_1,Kal'tsit,龙门已经变得相当危险了。,Lungmen has become quite dangerous.,
char_007_closre_1,Closure,欸，龙门有这么危险吗？不是说那边治安还挺好吗？,"Huh, is Lungmen so dangerous now? Didn't you say before the security was pretty good over there?",
char_003_kalts_1,Kal'tsit,离切尔诺伯格最近的城市就是龙门，剩下的不用我多说。,"The nearest city to Chernobog is Lungmen, I don't need to tell you the rest.",
char_007_closre_1,Closure,那为什么要去？,Then why are we going Lungmen?,
char_003_kalts_1,Kal'tsit,因为离切尔诺伯格最近的城市就是龙门。,Because the nearest city to Chernobog is Lungmen.,
char_007_closre_1,Closure,你是不是还隐瞒了什么理由啊......,Are you hiding something else...,
char_003_kalts_1,Kal'tsit,不，上次开会的时候，我全都报告了。只是那个时候，你正戴着眼罩躺在会议椅上睡觉。,"No, I reported everything at the last meeting. During that time, you were wearing a sleeping eye cover in your conference chair.",
char_007_closre_1,Closure,系统实在是维护太累了......不好意思。,I was too tired maintaining the system... I'm sorry.,
