Character,Name,Chinese,English
char_130_doberm_ex,杜宾,依照既定路线，我们已经很接近切城南边的中城区了。
char_130_doberm_ex,杜宾,穿过这个公园，就是汇合点。不出意外的话，临光和E4小队应该已经在那里等着我们了。
char_013_riop,近卫干员,可是......
char_013_riop,近卫干员,要是临光......被袭击了，会怎么样？
char_013_riop,近卫干员,要是他们原本想用通讯设施警告我们，却发现信号遭到干扰......
char_013_riop,近卫干员,我们该怎么办？
char_130_doberm_ex,杜宾,......
char_130_doberm_ex,阿米娅,我们会去确认。
char_130_doberm_ex,近卫干员,......啊。
char_014_riope,Ace,我们要亲眼确认事件之后，才会做出揣测。
char_014_riope,Ace,不要用怀疑恐吓自己。
char_013_riop,近卫干员,明，明白了......
char_013_riop,杜宾,失去联络手段所带来的恐慌情绪，比想象中蔓延的快得多......
char_013_riop,杜宾,特别是......在这个天灾仿佛近在眼前的时候。
char_013_riop,杜宾,我们得赶紧加快速度了。
char_013_riop,阿米娅,......
char_013_riop,阿米娅,欸......这阵雾气......？
char_013_riop,阿米娅,——难道——
char_013_riop,阿米娅,小心！！
char_013_riop,？？？,干掉他们。
char_013_riop,杜宾,敌军的射击！！
char_013_riop,阿米娅,这是陷阱......！
char_1002_nsabr_2,整合运动成员,————！！
char_1002_nsabr_2,近卫干员,不好，我们的后方也出现了整合运动的追兵......！
char_002_amiya_1#7,阿米娅,侦查干员呢！
char_002_amiya_1#7,近卫干员,被战场分割了！
char_1502_crowns,？？？,罗德岛......
char_1502_crowns,？？？,追上你们了。
char_1002_nsabr_2,整合运动成员,——！
char_1002_nsabr_2,整合运动成员,杀！！
char_1502_crowns,？？？,这次，就让你们粉身碎骨。
char_002_amiya_1#7,阿米娅,杜宾！
char_130_doberm_ex,杜宾,狙击干员！压制敌人的冲锋！
char_130_doberm_ex,杜宾,重装干员，防御姿态，随时准备向前顶上！
char_130_doberm_ex,杜宾,Ace，准备————
char_1507_Mephisto_1#6,？？？,等一下，等一下——
char_002_amiya_1#7,阿米娅,？！
char_1507_Mephisto_1#6,？？？,在清剿了东南要塞之后，我一听到你的消息，可是立刻就赶过来了。
char_1507_Mephisto_1#6,？？？,这里已经是我的处理范围咯，弑君者。
char_1502_crowns,弑君者,......
char_1502_crowns,弑君者,你来做什么？
char_1507_Mephisto_1#6,？？？,该把他们，交给我了吧？
