Character,Name,Latest,English,Japanese
-----,-----,-----,-----,-----
,,♪你是否听闻一声惊雷？,♪Have you heard of a thunder?,
,,♪雨成帘，不见山,"♪Rain pouring down, obscuring the mountains",
,,♪我早已忘记是何人何物,♪I have long forgotten who and what,
,,♪将我引领入此道,♪Lead me into this path,
,,♪远方的红色的云啊,♪Red clouds in the distance,
,,♪带我回到故乡,♪Take me home oh sweet home,
-----,-----,-----,-----,-----
,,10:37 A.M.    天气/多云,,
,,叙拉古天灾低发区，荒野，某林中小屋,,
char_190_clour,Vermeil,唔......？,What...?,
char_190_clour,Vermeil,......,...,
char_279_excu_4#6,？？？,我已经听见了歌声，躲藏是不必要的，我没有恶意。,I heard the song. It is unnecessary for you to hide. I mean no harm.,
char_190_clour,Vermeil,......每个刽子手都是这么说的。但最后，总是见血。,,
char_279_excu_4#6,？？？,刽子手？我不明白你的用词。我是拉特兰公证所——,Killer? I don't understand your words. I'm from Laterano and a notary——,
char_190_clour,Vermeil,闭嘴！你骗不了我！,Shut up! You can't fool me!,
char_190_clour,Vermeil,得手了！,Got you!,
char_279_excu_4#6,？？？,并没有。,Nope.,
char_190_clour,Vermeil,咦？！,What?!,
char_279_excu_4#6,？？？,失礼了。,Excuse my lack of manners.,
char_279_excu_4,？？？,目标翻窗逃走，反应相当迅速。,"The target escaped through the window, they reacted quickly.",
char_279_excu_4,？？？,环境确认。腌制的羽兽肉，鞣制用的架子，处理过的牙兽皮，手工小刀和木质工具。,"Confirmation of the environment. There are preserved feathers, tanning shelves, processed tusks, handmade knives and wooden tools.",
char_279_excu_4,？？？,放下弓。我清楚你的位置，你埋伏在窗后。,Put down the bow. I know where you are. You're lurking behind the window.,
char_279_excu_4,？？？,重申一遍，我对你没有恶意。,"Again, I bear you no ill will.",
char_190_clour,Vermeil,——不行！,——I refuse!,
char_279_excu_4,？？？,你的警戒心很强。,You have a strong vigilance.,
char_190_clour,Vermeil,尝尝这一箭！,Have a taste of this arrow!,
char_190_clour,Vermeil,抓，用手抓住了箭身？,You g-grabbed my arrow with your hand?,
char_190_clour,Vermeil,怎么会......你究竟是什么人！,How did... Who the hell are you?!,
char_279_excu_4,？？？,诚如报告所说，遗嘱继承人暴躁排外，难以交流。,"Just as the report said, the heir to the will is irascible and a difficult person, and also hard to talk with.",
-----,-----,-----,-----,-----
,,以上就是本人遗嘱的全部内容。,As mentioned in the will.,
,,除此之外，我有一条出于私心的请求。,"In addition to this, I have a selfish request.",
,,在叙拉古的森林之中，我遇到了一位独臂的沃尔珀少女。,In the forests of Syracuse I met a one-armed Vulpus maiden.,
,,她沉溺在对过去的复仇之中，拘泥于那片染血的土地。,"She was obsessed with revenge for the past, clinging to that bloodsoaked land.",
,,出于怜悯，我帮助了她，也许这伤害到了她的自尊，但她倔强的求生方式的确感动了我。,"Out of pity, I helped her. Maybe it hurt her self-esteem, but her stubborn way of survival really touched me.",
,,后来我意识到，我一时兴起的援助，不过是坚定了她复仇的执念，这让我寝食难安。,"Then I realized that my impulse to help had only solidified her obsession with revenge, I couldn't sleep when I realized what I've done.",
,,所以我想把我的一切赠送给她，尽管我几乎一无所有，只剩那么点可悲的遗物。,"So I wanted to give her everything I had, even though I had almost nothing but a few sad momentos.",
,,——恕我打断一下，您的亲属列表里没有沃尔珀人。这会为我们的工作带来很多麻烦。,"——With all due respect, there are no Vulpus listed on your list of relatives. This will bring a lot of trouble to our work.",
,,所以，这只是一位膝下无子的拉特兰公民，在将死之际向公证所提出的小小请求。,That's why this is a small request from a childless citizen of Laterano to a notary on my deathbed.,
char_190_clour,Vermeil,......,...,
char_190_clour,Vermeil,（他的身上，有血的气味，而且，有股讨厌的感觉......）,"(He has the smell of blood on him and, what's more, he gives me a nasty feeling... )",
char_190_clour,Vermeil,（又是来破坏我们家园的人吗，讨厌，好讨厌！）,(Is it the people who are trying to destroy my home again?),
char_190_clour,Vermeil,上钩了！,He took the bait!,
char_279_excu_4,？？？,原来如此，又是个陷阱。似乎各个方位都有触发机关。,I see. Another trap. There seems to be a trigger in every direction.,
char_190_clour,Vermeil,听着！你已经走进了猎人的陷阱，不想死的话，就把你的武器放下，一步也不要动！,"Listen! You're in a hunter's trap. If you don't want to die, drop your weapon. Don't move a step!",
char_279_excu_4,？？？,如果能方便交流，可以。,"If it helps with talking to you, sure.",
char_190_clour,Vermeil,你是什么人？,,
