Character,Name,Latest,English,Japanese
-----,-----,-----,-----,-----
,Liskarm,三点钟20M，术师目标A。 ,,
,Liskarm,八点钟30M，重装防御人员身后的指挥者。,"8 o'clock 30M, the commander behind his Defenders.",
,Liskarm,注意十点钟有敌方狙击人员。 ,,
,,05：32 PM   天气/晴,,
,,龙门接舷区，罗德岛舰船，底层射击训练室,,
-----,-----,-----,-----,-----
char_107_liskam_1,Liskarm,这才第五组折返射击而已。,This is only the fifth turn shot.,
char_107_liskam_1,Liskarm,最后的目标转换速度明显慢了下来，而且也没有命中有效击杀点。,The final target transition slowed significantly and you still missed the effective kill point.,
char_107_liskam_1,Liskarm,如果是实战的话说不定已经反过来被敌人击中了。,"If it was real combat, the enemy would had reacted and counter-attack you.",
char_107_liskam_1,Liskarm,怎么了，杰西卡，是不是这些训练对你来说还是太勉强了。,"How are you, Jessica, is this training too much for you?",
char_259_Jessica_1,Jessica,哈，哈哈，呼...并，并不会！,"Ha, ha, ha, *Breath*... No, no!",
char_259_Jessica_1,Jessica,请指导我继续练习！,Please instruct me to keep practicing!,
char_107_liskam_1,Liskarm,气势还不错，不过强撑可不行。,"Your will is not bad, but forcing yourself is not good at all.",
char_107_liskam_1,Liskarm,我们稍微休息10分钟，尽快将自己的气息调整好。,Let's take a 10 minute break and get your breath back as soon as possible.,
char_107_liskam_1,Liskarm,在这10分钟里，我会再跟你强调一次手持铳械的基础运用准则。,"Within this 10 minutes break, I'm going to emphasize once again the basic principles of using a handgun.",
char_107_liskam_1,Liskarm,即使是在战场，也一刻都不能忘记这些最核心的部分！,"Even on the battlefield, never forget these important lesson!",
char_259_Jessica_1,Jessica,是！,Yes!,
char_107_liskam_1,Liskarm,首先永远保证姿态的稳定和平衡，不管在怎样的地形中移动，身体核心都不能放松！,"First of all, always ensure the stability and balance of your posture, no matter what terrain movement there is, your body posture can not relax!",
char_107_liskam_1,Liskarm,上身保持压低，保证重心。,Keep your upper body down and focus on your center of gravity.,
char_107_liskam_1,Liskarm,其次，控制铳械运作的源石技艺绝对不能有半点紊乱。,"Secondly, there must be disclipline in your Originium arts control and handling of your handgun.",
char_107_liskam_1,Liskarm,从手臂连接到铳械内部，精确地感知弹药的推送情况，然后激活铳芯开火。,,
char_107_liskam_1,Liskarm,说起来轻松，但是需要细腻地进行源石技艺的持续触发。,,
char_107_liskam_1,Liskarm,一旦出现了技艺紊乱，就很可能造成射击失误甚至铳械的损坏。,,
char_107_liskam_1,Liskarm,最后则是对目标的瞄准射击和再次移动。,The last is aiming at the target and moving again.,
char_107_liskam_1,Liskarm,在黑钢的射击理论中，这些仅仅是基础中的基础，杰西卡你也应该了然于胸了。,"In Black Steel's shooting theory, these are just the basics of the basics, as you should know by now, Jessica.",
char_107_liskam_1,Liskarm,那么，你知道你刚才的射击中最大的问题在哪里吗？,"So, you know what was the biggest problem with your shooting?",
char_259_Jessica_1,Jessica,呃......是因为我的练习量不够，所以重心不稳转换的速度不快，然后源石技艺控制不精.....,"Er... Because I don't have enough practice, so my center of gravity is unstable and my speed of reaction is not fast, and then my Originium arts control is not good...",
char_259_Jessica_1,Jessica,以及......开枪的时候总是要么犹豫要么松懈，总不能命中目标。,"And... whenever I shoot, I always hesitated or relaxed my posture, causing me to never hit my intended target.",
char_259_Jessica_1,Jessica,啊啊啊，这么一想我这不是每一个部分都有很大的问题吗！,"Ahh, so I think I have a big problem in everything!",
char_107_liskam_1,Liskarm,你说得一半对，一半不对。,You are half right and half wrong.,
char_107_liskam_1,Liskarm,杰西卡你总是想要兼顾一切，既想要做到速度够快，还要命中率够高。,"Jessica you're always trying to do everything at once, you're trying to be fast enough and you're trying to hit the target as accurately as possible.",
char_107_liskam_1,Liskarm,在不知不觉期间，你会在各个环节都畏首畏尾。,"Before you know it, you'll hesitating on every step.",
char_107_liskam_1,Liskarm,因为你的急迫，导致你的源石技艺控制最先出现混乱。因此，当你应当开始瞄准敌人时，你却还要去进行铳械内部的控制检验。,"Because of your urgency, your Originium arts control is the first to go haystack. Therefore, when you should be aiming at the enemy, you are instead conducting a control check inside your handgun.",
char_107_liskam_1,Liskarm,从这里开始，你的射击就会出现问题。,"From here on, your shooting will have a problem.",
char_259_Jessica_1,Jessica,原、原来是这样的...！？,,
char_107_liskam_1,Liskarm,首先你要做的是丢掉那些你太在意的各个方面，先专注于指尖。,The first thing you need to do is get rid of all the aspects that you care too much about and focus on your fingertips first.,
char_107_liskam_1,Liskarm,相信你的搭档，手中的枪不会欺骗你。,Trust your partner and that your handgun will not deceive you.,
char_107_liskam_1,Liskarm,你如何对待它，它就会如何回应你。,How you treat it will respond back in kind to you.,
char_107_liskam_1,Liskarm,源石技艺输送的量和速度不是关键，谨记，精度控制和稳定性才是最重要的部分。,"The amount and speed of Originium arts control is not the key, remember, precision control and stability is the most important part.",
char_107_liskam_1,Liskarm,来吧，继续。连续移动到三个练习台对前方多个目标进行快速射击。,"Come on, let's continue. Practice moving to three practice tables in succession and shoot quickly at multiple targets in front of you.",
char_107_liskam_1,Liskarm,再进行五组！专注于手上的源石技艺！,Five more sets! Focus on the Originium arts control in hand!,
char_259_Jessica_1,Jessica,好的！,Good!,
-----,-----,-----,-----,-----
-----,-----,-----,-----,-----
char_106_franka_1,Franka,基本训练、基本训练、基本训练，已经是第三个小时了......,"Basic training, basic training, and more basic training, it's been three hours...",
char_106_franka_1,Franka,我可以离开这个充满汗味的训练室了吗。,Can I leave this sweaty training room?,
char_106_franka_1,Franka,只是杰西卡的一个切城废墟的侦查任务而已，至于看重到连休息日都消耗进去吗。,,
