Character,Name,Chinese,English
avg_npc_010#2,大鲍勃,几年之前，我们成了感染者。
avg_npc_010#2,大鲍勃,我们躲躲藏藏，平稳的生活一夜之间就变成了奢侈。
avg_npc_010#2,大鲍勃,原本，我们以为整合运动能使我们的生活有所改观，可......
avg_npc_010#2,大鲍勃,仍旧没有一家店肯卖给我们面包，没有任何地方能容纳我们落脚。
avg_npc_010#2,大鲍勃,所以我和兄弟们离开了那里，四处流浪，直到听说了宝藏的消息，来到了这里。
avg_npc_010#2,大鲍勃,只要这次，只要我们能夺下这份宝藏——
avg_npc_010#2,大鲍勃,我们就能前往哥伦比亚。虽然那是一片遥远的土地，但在那里，感染者还能拥有自己的城镇和田地。
avg_npc_010#2,大鲍勃,所以，格拉尼，为了我所有的兄弟，这份宝藏我一定会拿到手。
avg_npc_010#2,大鲍勃,宝藏不远了，我知道。你做得很好，但是很遗憾————
,整合运动,女人！你——
,斯卡蒂,别挡路。
,整合运动,呜啊！
avg_npc_010#2,大鲍勃,......
char_263_skadi#2,斯卡蒂,我不管你们是什么人，要做什么事。
char_263_skadi#2,斯卡蒂,你们所有人，马上从我的视线里消失。
,大鲍勃,如果一定要和你为敌，斯卡蒂......今天我们会死战到底。
,斯卡蒂,所以这种人就是格拉尼你找来的同伴？
char_220_grani#5,格拉尼,你们拿了宝藏，那滴水村怎么办？
avg_npc_010#2,大鲍勃,不管怎么样，他们都还能活下去，我们却已经无路可走了。
avg_npc_010#2,大鲍勃,虽然我认识你没多久，但我知道你是什么样的人。
avg_npc_010#2,大鲍勃,你跟你身边那个怪物不一样，你没把我们感染者当成外人。
,格拉尼,(我觉得斯卡蒂也只是一视同仁地把我们全都干掉而已，她大概也没把谁当成外人吧......)
avg_npc_010#2,大鲍勃,格拉尼，告诉我可萝尔在哪里！
avg_npc_010#2,大鲍勃,你知道这些宝藏对我们意味着什么！
char_220_grani#5,格拉尼,抱歉大鲍勃，我已经接下委托了。
char_220_grani#5,格拉尼,我只有一个任务，就是把这份宝藏交给可萝尔，帮助她让村子恢复平静。
char_220_grani#5,斯卡蒂,别的与我无关，把可萝尔交给我。
avg_npc_010#2,大鲍勃,那你要那个女孩干什么，怪物？
