Character,Name,Latest,English,Japanese
-----,-----,-----,-----,-----
,Reunion Movement Caster,W，我们遇到了点麻烦。,"W, we have a problem.",
,W,嚯......值得你们用这个频道联系我，怎么？发现了什么有趣的事情？,Ho... For you to contact me on this channel. Why? What did you found that was interesting?,
,Reunion Movement Caster,不太有趣，W，在你重整那些萨卡兹雇佣兵的时候，有一支队伍叛逃了。,"Not that interesting, W. One of the teams went AWOL while you were reorganizing those Sarkaz mercenaries.",
,Reunion Movement Caster,好像是支负责清扫战场的后勤队伍，所以我们直接发起了追击。,"I seems to be a clean up team that was supposed to get rid leftovers from the battlefield, so we launched a pursuit.",
,Reunion Movement Caster,意料之内的，他们变成了一盘散沙，一触即溃，开始向城外撤离。,"Surprisingly, they scattered, collapsing their team, and began to evacuate the city.",
,W,可喜可贺。,Congratulations.,
,Reunion Movement Caster,但，意料之外的情况是......我们派去追击的小队，和我们失去了联系。,But the unexpected thing is... The team we sent in pursuit lost contact with us.,
,Reunion Movement Caster,作为佣兵们的新领头人，希望你能给出合理的解释。,"As the new leader of the mercenaries, I hope you can give me a reasonable explanation.",
,Reunion Movement Caster,我们的小队为什么人间蒸发了？,Why did our team disappeared?,
-----,-----,-----,-----,-----
,,01:13 P.M.    天气/晴,,
,,切尔诺伯格，郊外，荒野,,
-----,-----,-----,-----,-----
char_1504_cqbw,W,这种描述可不利于我理解喔？,"Your kind of explanation is not good for my comprehension, you know?",
,Reunion Movement Caster,事实如此。协同小队没发现埋伏和陷阱，只知道敌人是萨卡兹人。,"That's true. But the team found no ambushes or traps, only that the enemy was a Sarkaz.",
char_1504_cqbw,W,那自然是萨卡兹了，我的佣兵还能有什么其他种族呢？不过，挺有趣的。接着说。,Of course it's Sarkaz. What other race are in my mercenary team? But that's interesting. Continue.,
,Reunion Movement Caster,最先接触的时候，目标被成功压制，出于谨慎，追击小队也有所保留。对方并不是什么强敌。,"At first contact, the target was successfully suppressed, and out of caution, the pursuit team held back since the other side was not a strong enemy.",
,Reunion Movement Caster,然而某个时刻，通讯突然中断了。,"At some point, however, communication was suddenly cut off.",
char_1504_cqbw,W,......嗯，比起你们，真正的野兽更善于隐藏自己的尖牙利齿，你们这也太大意了吧。,"... Well, it seems real beasts are better at hiding their fangs than you, you were too careless.",
,Reunion Movement Caster,我们该怎么办？,What should we do now?,
char_1504_cqbw,W,那些萨卡兹人有什么特点？,What's the distinguishing feature of that Sarkaz?,
,Reunion Movement Caster,......不清楚，目击者大都失去了联络。从远处看，只知道有一名近身陷阵的战士。,"... I don't know much. Witnesses are mostly out of contact. From a distance, only one soldier was known to be in close combat.",
char_1504_cqbw,W,那就不要和他们正面接触。拖住那个人，我们一会见。,Don't confront them head on. Delay that person. I'll see you later.,
char_1002_nsabr_2,Reunion Movement Swordman,出了什么事？,Did something happened?,
char_1504_cqbw#3,W,没什么，只是有一支不够成熟的小队中了诱饵。,Nothing. It's one of the less mature teams has been baited.,
